t;houseId;Q;Ta;G
21/01/2009;3;NA;2.991767708;29.88359923
22/01/2009;3;NA;0.884993056;48.49751042
23/01/2009;3;2.871874988;1.273037153;39.13058014
24/01/2009;3;4.159722226;0.817461458;11.37767114
25/01/2009;3;3.854861102;1.841737153;23.37009914
26/01/2009;3;4.400694458;1.4910875;22.66583722
27/01/2009;3;4.61180558;0.082489236;12.40951674
28/01/2009;3;4.88750002;0.144273611;27.07908698
29/01/2009;3;4.276428554;-1.321969792;24.60793971
30/01/2009;3;4.71294964;-1.814803472;34.91974742
31/01/2009;3;4.433333333;-1.084666319;44.12443844
01/02/2009;3;4.165277768;0.249290625;31.5293831
02/02/2009;3;4.400694433;-1.072013889;25.95572106
03/02/2009;3;4.668055536;-0.461027431;14.96249825
04/02/2009;3;4.333333307;0.292887153;13.32600771
05/02/2009;3;4.620833327;0.643831597;9.167716892
06/02/2009;3;3.508333338;0.942191667;17.08389951
07/02/2009;3;3.838461543;3.803412847;24.22129808
08/02/2009;3;3.422222225;1.986661806;21.8222534
09/02/2009;3;3.379166676;0.27079375;65.89351663
10/02/2009;3;4.10972223;-0.096419792;27.47077666
11/02/2009;3;4.575524483;-0.155098958;13.89895106
12/02/2009;3;3.999999975;-0.880513194;59.36422736
13/02/2009;3;4.595138878;-2.752144444;98.42675671
14/02/2009;3;4.605555549;-2.918055903;56.51763476
15/02/2009;3;4.153846128;-2.420110069;102.1418741
16/02/2009;3;4.072027967;0.348607639;43.70551469
17/02/2009;3;3.70000002;0.735522569;35.58204273
18/02/2009;3;4.131944441;-2.219953125;103.119136
19/02/2009;3;4.328472174;-1.64929375;49.39417452
20/02/2009;3;4.218749975;0.695319792;22.77194762
21/02/2009;3;4.054861123;0.53945625;24.72222677
22/02/2009;3;3.827777776;1.4574;51.11207671
23/02/2009;3;2.967832175;4.777880903;57.6193701
24/02/2009;3;3.267132869;2.935899362;101.4595061
25/02/2009;3;4.609722212;1.127668924;85.56136884
26/02/2009;3;3.64405596;3.838421181;21.12590522
27/02/2009;3;3.72097903;4.338805764;48.7235111
28/02/2009;3;3.621527755;3.938932986;67.49897515
01/03/2009;3;3.640277771;2.783472222;41.97205324
02/03/2009;3;3.575524486;3.25121331;24.83749984
03/03/2009;3;3.363888892;4.115655208;47.3058263
04/03/2009;3;3.074125874;4.852986111;75.80365741
05/03/2009;3;3.350694442;3.494981944;128.0048482
06/03/2009;3;3.083333311;3.240989074;40.44399852
07/03/2009;3;3.520979006;2.371320486;21.95387223
08/03/2009;3;3.461111099;2.139164514;57.90744043
09/03/2009;3;3.325694462;3.743194444;79.94925463
10/03/2009;3;3.672916668;2.972360069;52.30950976
11/03/2009;3;3.293055552;4.125148264;106.6309506
12/03/2009;3;3.102797211;4.204775694;135.9444122
13/03/2009;3;3.977777769;3.930192014;31.55360198
14/03/2009;3;3.711805562;5.523550694;87.8576167
15/03/2009;3;3.110416653;5.292569444;73.04736574
16/03/2009;3;3.722916678;5.317361111;52.57809375
17/03/2009;3;2.81748251;5.633958333;68.81631944
18/03/2009;3;2.709090926;5.634791667;206.5798079
19/03/2009;3;3.063194443;4.656880556;181.7747248
20/03/2009;3;3.287412573;3.807523264;192.4852227
21/03/2009;3;3.116129034;2.366853409;200.9959034
22/03/2009;3;3.400000095;2.611631944;48.11322348
23/03/2009;3;2.82152778;6.007096181;143.3225373
24/03/2009;3;3.215972218;3.781532986;69.7520693
25/03/2009;3;4.119444423;0.423984995;194.0174594
26/03/2009;3;3.870833316;0.795638194;56.61828273
27/03/2009;3;3.866666683;3.195792361;51.89094453
28/03/2009;3;3.086111107;4.560428819;154.7364137
29/03/2009;3;3.620833349;4.620802431;105.6724883
30/03/2009;3;3.411111123;4.672723342;110.049559
31/03/2009;3;NA;4.151098611;183.4671267
01/04/2009;3;NA;6.292978125;82.96610209
02/04/2009;3;NA;7.040993403;70.23566255
03/04/2009;3;NA;4.848026389;83.51095499
04/04/2009;3;NA;7.037979514;245.9395575
05/04/2009;3;NA;9.221022222;183.6858585
06/04/2009;3;NA;7.250077778;224.1530114
07/04/2009;3;NA;7.185771181;222.640503
08/04/2009;3;NA;9.806759375;211.2351112
09/04/2009;3;NA;10.11322431;186.4528453
10/04/2009;3;NA;9.590490625;237.9993926
11/04/2009;3;NA;10.17126806;267.3529454
12/04/2009;3;NA;10.0075184;250.9414977
13/04/2009;3;NA;9.518541667;272.2930127
14/04/2009;3;NA;9.872152778;227.5385891
15/04/2009;3;NA;11.23424531;229.9223434
16/04/2009;3;NA;9.487003125;258.7767197
17/04/2009;3;NA;8.658276815;269.5277425
18/04/2009;3;NA;8.140843403;291.9671186
19/04/2009;3;NA;9.358410764;299.0296113
20/04/2009;3;NA;6.794406944;307.2329186
21/04/2009;3;NA;8.882761458;305.5208832
22/04/2009;3;NA;9.298367708;302.6391722
23/04/2009;3;NA;6.932492708;108.5231808
24/04/2009;3;NA;9.822319792;297.9791476
25/04/2009;3;NA;10.23582986;311.3966173
26/04/2009;3;1.61111111;11.53938611;285.3798184
27/04/2009;3;1.020833337;14.79911458;260.1911792
28/04/2009;3;1.113194449;13.0316684;192.1230352
29/04/2009;3;1.327083331;13.06433264;211.3556535
30/04/2009;3;1.435416666;13.06393854;224.157166
01/05/2009;3;1.138194448;13.39828403;293.2624016
02/05/2009;3;1.349999995;11.33821806;319.2889764
03/05/2009;3;1.408333341;12.38914896;310.9869241
04/05/2009;3;1.788888893;9.278736111;136.0163491
05/05/2009;3;1.507692308;8.51085;259.8426032
06/05/2009;3;1.622916668;9.690108681;214.330067
07/05/2009;3;1.787499998;9.287104861;259.6029582
08/05/2009;3;1.656944443;10.7647875;141.8576023
09/05/2009;3;1.619444444;11.28411424;201.1192747
10/05/2009;3;1.627777778;11.88305069;285.1214286
11/05/2009;3;1.409722216;10.57423958;323.3900683
12/05/2009;3;1.481249997;9.591342014;307.5771201
13/05/2009;3;1.43055555;10.90290868;285.1433589
14/05/2009;3;1.213888885;11.84413785;322.6479993
15/05/2009;3;1.243749993;11.15975833;338.0510613
16/05/2009;3;1.299305559;10.96210347;263.941588
17/05/2009;3;1.40277778;11.25921007;176.0031631
18/05/2009;3;1.466666667;11.36529132;130.9515731
19/05/2009;3;1.156944437;13.69172153;255.4858487
20/05/2009;3;1.21805555;14.5743809;275.6633247
21/05/2009;3;1.363888895;14.14933021;347.6750312
22/05/2009;3;1.03819445;13.71163646;245.9384365
23/05/2009;3;1.052777772;11.51011944;245.3440223
24/05/2009;3;1.300000001;12.01732049;294.8410862
25/05/2009;3;1.536805555;14.24739688;287.4478275
26/05/2009;3;0.975000001;13.71820069;350.7742187
27/05/2009;3;0.86736111;15.33669132;230.7754549
28/05/2009;3;1.060416662;12.12881458;268.8531563
29/05/2009;3;1.154861114;11.30688264;318.9425375
30/05/2009;3;1.154861115;13.57585833;370.3560064
31/05/2009;3;1.014583333;15.84975694;345.6312313
01/06/2009;3;1.000694454;17.45866111;347.5741786
02/06/2009;3;1.041666671;18.57579201;346.4755224
03/06/2009;3;0.739583336;14.64623854;339.0972132
04/06/2009;3;1.117361112;10.52298333;229.6478081
05/06/2009;3;1.34791666;9.350228472;289.2757159
06/06/2009;3;1.054166665;9.530501042;225.8073337
07/06/2009;3;1.394444428;11.22034271;250.0008517
08/06/2009;3;1.376388887;11.79884722;233.9858477
09/06/2009;3;1.193749996;12.06720729;233.7590831
10/06/2009;3;1.129861109;12.07800382;149.0611178
11/06/2009;3;1.245138891;12.68147292;146.0593808
12/06/2009;3;1.769444435;8.844336458;60.79540222
13/06/2009;3;1.692361111;10.70738507;218.9683747
14/06/2009;3;1.370138891;11.43539271;345.8341062
15/06/2009;3;1.438888901;13.84233785;292.5556579
16/06/2009;3;0.900694447;11.88330243;352.3961318
17/06/2009;3;1.438194439;10.84974236;278.3657522
18/06/2009;3;1.231944444;13.84367569;336.6176311
19/06/2009;3;0.892361121;14.53888194;301.9273784
20/06/2009;3;0.959027781;12.61434132;207.1222311
21/06/2009;3;1.110416662;13.20773333;292.327953
22/06/2009;3;1.299999996;13.40555556;251.1247162
23/06/2009;3;0.992361118;15.98234375;316.6788906
24/06/2009;3;0.891666665;16.66891944;361.8982357
25/06/2009;3;0.579861114;17.59999375;334.8244188
26/06/2009;3;0.906250001;17.84129896;202.4042479
27/06/2009;3;0.758333335;17.87901354;333.5091353
28/06/2009;3;0.64930556;16.88691042;295.3707334
29/06/2009;3;0.694444455;17.570775;270.0800702
30/06/2009;3;0.684027791;17.84246146;251.5593568
01/07/2009;3;0.637500002;21.71388889;276.4858673
02/07/2009;3;0.587500008;21.58425694;284.1891565
03/07/2009;3;0.593750005;21.81516458;332.4310728
04/07/2009;3;0.7326389;22.65041389;337.799589
05/07/2009;3;0.674305563;19.72373368;181.9768124
06/07/2009;3;0.50347223;19.55904965;261.6751924
07/07/2009;3;0.79722223;18.71716146;247.9263346
08/07/2009;3;0.603472225;17.71606424;271.2395777
09/07/2009;3;0.601388897;15.99691007;236.3371513
10/07/2009;3;0.656250008;14.71081806;299.2963129
11/07/2009;3;0.729166678;14.81005694;232.2543502
12/07/2009;3;0.801388893;14.28107813;235.7409766
13/07/2009;3;0.788888899;16.31698264;214.5745998
14/07/2009;3;0.741666673;18.11879896;253.5652419
15/07/2009;3;0.71111112;19.64500729;255.846933
16/07/2009;3;0.818055572;20.4131434;257.7224915
17/07/2009;3;0.766666672;19.91874306;307.3891115
18/07/2009;3;0.729166673;19.47027743;164.8176017
19/07/2009;3;0.670833344;17.41208472;149.9197409
20/07/2009;3;0.60347223;17.10623993;230.5969613
21/07/2009;3;0.820833345;15.31906076;231.4357533
22/07/2009;3;0.789610398;17.54879653;283.1813497
23/07/2009;3;NA;19.4758441;172.9364028
24/07/2009;3;0.5;17.44225417;153.713976
25/07/2009;3;0.800694452;15.93793368;171.6541277
26/07/2009;3;0.755555567;15.46350417;233.7587899
27/07/2009;3;0.859722234;16.16020382;271.065186
28/07/2009;3;0.822222231;19.27894097;184.1900756
29/07/2009;3;0.727777784;17.20252257;274.8527972
30/07/2009;3;0.734722233;18.37080104;153.4801564
31/07/2009;3;0.803472228;16.49923889;210.7867372
01/08/2009;3;0.822916673;15.57767882;282.7411188
02/08/2009;3;0.890277789;17.14440833;244.4365665
