"t";"Ta";"G";"Ws";"Q1";"Q2";"Q3";"Q4"
"2008-11-14";6.29484340277778;45.6975705844907;2.76749513888889;NA;NA;NA;NA
"2008-11-15";9.05416944444444;11.1466917939815;4.90861736111111;NA;NA;NA;NA
"2008-11-16";9.47152256944444;10.8801233969907;4.70062395833333;NA;NA;NA;NA
"2008-11-17";6.40525798611111;33.3711483391204;3.95240243055556;NA;NA;NA;NA
"2008-11-18";3.76806423611111;52.1891111631944;1.73200381944444;NA;NA;NA;NA
"2008-11-19";5.04228645833333;19.0552069270833;5.422790625;NA;NA;NA;NA
"2008-11-20";7.40335694444444;14.3939481134259;4.14076944444444;NA;NA;NA;NA
"2008-11-21";5.75087013888889;32.1038480150463;4.83366145833333;NA;NA;NA;NA
"2008-11-22";1.02315555555556;50.3845520833333;3.25989444444444;NA;NA;NA;NA
"2008-11-23";0.593445138888889;51.1317370891204;4.13176840277778;NA;NA;NA;NA
"2008-11-24";0.620422916666667;43.7854011574074;1.67087083333333;NA;NA;NA;NA
"2008-11-25";0.00579583333333332;47.7785823148148;1.64985520833333;NA;NA;NA;NA
"2008-11-26";1.08360451388889;46.4851230729167;2.17385138888889;NA;NA;NA;NA
"2008-11-27";5.75592638888889;13.2775192766204;3.25593715277778;NA;NA;NA;NA
"2008-11-28";7.26610625;7.75305321180556;5.50251666666667;NA;NA;NA;NA
"2008-11-29";4.66220451388889;16.4423382986111;3.18636770833333;NA;NA;NA;NA
"2008-11-30";1.90849583333333;7.71979170138889;1.38282430555556;NA;3.09999998410543;NA;NA
"2008-12-01";2.71294791666667;8.55309835648148;1.17710243055556;2.09999990463257;3.60208333200879;NA;NA
"2008-12-02";2.58650520833333;20.8082678125;1.636896875;3.50769231286082;3.47832167898858;NA;NA
"2008-12-03";2.67857534722222;14.4173912384259;2.481990625;3.6381944252385;3.47708333366447;NA;NA
"2008-12-04";0.602563888888889;6.87111791666667;1.14309131944444;3.43819445288844;3.7777777703272;NA;NA
"2008-12-05";1.23194027777778;16.9126042997685;3.31453263888889;3.82430555588669;3.87847222222222;NA;3.70000004768372
"2008-12-06";4.04846006944444;8.86739878472222;1.42763402777778;3.5291666669978;3.6048611038261;NA;3.0555555563834
"2008-12-07";3.57975902777778;9.9883432349537;1.42502881944444;3.62569443550375;3.35000000728501;0;3.03472222553359
"2008-12-08";3.42425868055556;25.7796449074074;1.80417916666667;3.27083333167765;3.24305553982655;1.78461538078068;1.91180554554901
"2008-12-09";5.293059375;6.71017575810185;3.84011805555556;3.14791667709748;3.25138889418708;3.60069444247832;2.2875000010762
"2008-12-10";2.70665;9.2550326099537;1.81366631944444;3.65972220732106;3.349305546946;2.99379310690123;2.11111111214591
"2008-12-11";0.55979375;35.1114519270833;0.413513888888889;4.1423611127668;3.98125000960297;3.24722221824858;2.79027777454919
"2008-12-12";1.00625277777778;9.18587147569444;0.560536458333333;4.10902776651912;3.71319445139832;2.68194443856676;2.659027773473
"2008-12-13";0.748823958333333;18.6713185590278;1.17901423611111;3.92777777049277;3.61319443914625;3.45034481040363;2.21180555203723
"2008-12-14";1.79716388888889;6.73543836805556;4.23525138888889;4.54861112601227;3.72291666683223;4.15034482396882;1.85694443434477
"2008-12-15";3.16466875;9.77574238425926;3.54283611111111;3.65820896447595;4.0958333214124;4.2124137903082;2.62222221410937
"2008-12-16";2.70477083333333;3.6064452662037;1.00774340277778;3.88611111707158;3.49444443318579;3.73333332439264;3.00833332786957
"2008-12-17";3.10743576388889;6.79482695601852;0.31564375;3.36805556135045;3.43888890660471;3.56041666637692;NA
"2008-12-18";2.15405508207071;5.61942993265993;1.58494034090909;3.66736109720336;3.49999999337726;3.35172413669784;NA
"2008-12-19";2.33668888888889;14.9187637210648;3.25657743055556;3.69166666848792;3.67916667295827;3.53793103037209;NA
"2008-12-20";4.12356979166667;30.0906389641204;2.348496875;3.46250000844399;3.39861112170749;3.80551723077379;NA
"2008-12-21";5.62438055555556;19.5163405787037;5.56747534722222;3.16041666103734;3.45625001771582;3.16944445007377;NA
"2008-12-22";5.903403125;11.55662515625;4.214115625;3.05694444063637;3.40416668189897;3.70902778053035;2.40000009536743
"2008-12-23";6.29767222222222;23.5645934259259;5.72960416666667;3.19374999155601;3.20624999536408;2.57152776999606;1.89305554645964
"2008-12-24";4.54538368055556;21.5646540393519;1.84925173611111;3.02500000430478;3.46388887200091;4.23241379178804;1.74861109919018
"2008-12-25";4.94060069444444;24.1861156828704;3.24612013888889;3.75624997748269;3.53402777430084;2.14758620534478;1.85694443268908
"2008-12-26";1.88039097222222;9.56061006944444;1.56456875;3.60208333200879;3.95277778142028;2.40138888772991;2.2673610912429
"2008-12-27";0.655636805555556;14.1605094444444;0.361719791666667;3.97777777579096;4.31458333714141;3.81111111347046;2.57847218381034
"2008-12-28";0.878119097222222;12.0335009027778;1.16351076388889;3.70208334094948;3.91944444510672;4.54206895293861;3.11874996622403
"2008-12-29";1.79143854166667;9.74328516203704;1.28129375;3.64999998774793;3.67083333598243;4.28965516850866;2.64374999991722
"2008-12-30";0.810637152777778;20.5821619560185;2.33303888888889;4.01736111773385;3.84444445371628;4.20697675472082;2.12692305560295
"2008-12-31";-2.00579027777778;28.6613658622685;1.34855555555556;3.9645833298564;4.34545456279408;NA;NA
"2009-01-01";-1.86335694444444;15.7029646006944;1.28157673611111;4.66153846253882;4.44513888657093;NA;NA
